parte_inclusion_digital,sexo,edad,departamento,ciudad,unidad_educativa,normalista,tecnico,licenciatura,especializacion,maestria,doctorado,otro,experiencia,tiempo_establecimiento,tiempo_establecimiento,area,curso_tecnologia,institucion,tiene_computadora,tipo_computadora,numero_computadoras,tienen_tablets,numero_tablet,origen_computadora,internet_casa,internet_movil,internet_colegio,ultima_semana_internet
Sí,Femenino,45,Cochabamba,Cochabamba,MERCEDES CANDIA DE OVANDO,1,0,1,0,0,0,,12,Más de un año,2,"Vida, Tierra y Territorio",0,,1,Computadora de escritorio,1,0,NA,Por cuenta propia,Sí,Sí,Sí,Sí
Sí,Femenino,34,La Paz,El Alto,ATIPIRIS MAÑANA,0,0,1,0,0,0,,8,Más de un año,5,Comunidad y Sociedad,1,Quipus ,1,Computadora portátil,3,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,55,La Paz,El Alto,BAUTISTA SAAVEDRA,0,0,1,0,0,0,,20,Más de un año,20,"Ciencia, Tecnología y Producción",1,profocom,1,Computadora portátil,2,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,34,La Paz,El Alto,BAUTISTA SAAVEDRA,0,0,1,0,0,0,,8,Más de un año,3,Cosmos y Pensamiento,1,profocom,1,Computadora de escritorio,2,0,NA,Dotada por el ministerio,No,Sí,No,Sí
Sí,Masculino,59,La Paz,El Alto,BAUTISTA SAAVEDRA,1,0,0,0,0,0,,32,Más de un año,3,Comunidad y Sociedad,1,Manejo de computadoras,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,47,La Paz,El Alto,BAUTISTA SAAVEDRA,1,0,0,0,0,0,,22,Más de un año,13,Comunidad y Sociedad,1,,1,Computadora portátil,1,1,1,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Masculino,62,La Paz,El Alto,BAUTISTA SAAVEDRA,1,0,0,0,0,0,,38,Más de un año,8,Comunidad y Sociedad,1,manejo de tics,1,Computadora de escritorio,1,1,1,Por cuenta propia,Sí,Sí,No,Sí
No,Masculino,35,La Paz,El Alto,BAUTISTA SAAVEDRA,0,0,1,0,0,0,,14,Más de un año,10,"Ciencia, Tecnología y Producción",1,Curso de Posgrado de Tecnología s en el aula y cursos ofertados por Unefco.,1,Computadora portátil,3,1,2,Por cuenta propia,Sí,Sí,No,Sí
Sí,Masculino,33,La Paz,El Alto,BAUTISTA SAAVEDRA,1,0,1,1,0,0,,8,Más de un año,2,Comunidad y Sociedad,1,TICs como isntrumento tecnologico,1,Computadora portátil,3,1,1,Por cuenta propia,Sí,Sí,No,Sí
Sí,Femenino,35,La Paz,El Alto,BAUTISTA SAAVEDRA,1,0,1,0,0,0,,6,Más de un año,6,Comunidad y Sociedad,1,Clases de capacitacion de Kuas y Profocom.,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,30,La Paz,El Alto,BAUTISTA SAAVEDRA,1,1,1,0,0,0,,7,Más de un año,7,Cosmos y Pensamiento,1,capacitacion sobre el manejo de diferentes programas en los kuas.,1,Computadora de escritorio,1,0,NA,Por cuenta propia,Sí,Sí,No,Sí
Sí,Masculino,55,La Paz,El Alto,BAUTISTA SAAVEDRA,1,0,1,0,0,0,,30,Más de un año,6,Comunidad y Sociedad,0,,1,Computadora de escritorio,1,0,NA,Por cuenta propia,Sí,Sí,No,Sí
Sí,Masculino,50,La Paz,El Alto,BAUTISTA SAAVEDRA,0,0,1,0,0,0,,22,Más de un año,7,Cosmos y Pensamiento,1,capacitacion de herramientas de softwar libre,1,Computadora portátil,1,1,2,Por cuenta propia,Sí,Sí,No,Sí
Sí,Femenino,55,La Paz,El Alto,BAUTISTA SAAVEDRA,1,0,0,0,0,0,,31,Más de un año,6,"Ciencia, Tecnología y Producción",1,la capcitacion de la AGETIC que nos dieron recientemente,1,Computadora portátil,1,0,NA,Dotada por el ministerio,No,Sí,No,Sí
Sí,Femenino,33,La Paz,El Alto,BAUTISTA SAAVEDRA,1,1,1,0,0,0,,7,Más de un año,9,Comunidad y Sociedad,1,manejo de programas y herramientas de soffwart,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,38,La Paz,El Alto,BAUTISTA SAAVEDRA,1,0,1,0,0,0,,9,Más de un año,5,"Vida, Tierra y Territorio",0,,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,48,La Paz,El Alto,BAUTISTA SAAVEDRA,1,0,1,0,0,0,,10,Más de un año,10,"Vida, Tierra y Territorio",0,,1,Computadora de escritorio,1,1,1,Por cuenta propia,Sí,Sí,No,Sí
Sí,Femenino,55,La Paz,El Alto,BAUTISTA SAAVEDRA,1,0,1,1,0,0,,31,Más de un año,9,Comunidad y Sociedad,0,,1,Computadora portátil,3,1,1,Por cuenta propia,Sí,Sí,No,Sí
Sí,Femenino,31,La Paz,El Alto,BAUTISTA SAAVEDRA,0,0,1,0,0,0,,7,Más de un año,7,Comunidad y Sociedad,0,,1,Computadora portátil,2,1,1,Por cuenta propia,Sí,Sí,No,Sí
Sí,Masculino,59,La Paz,El Alto,BAUTISTA SAAVEDRA,1,0,0,0,0,0,,45,Más de un año,15,"Vida, Tierra y Territorio",0,,1,Computadora de escritorio,2,1,1,Por cuenta propia,Sí,Sí,No,Sí
Sí,Masculino,38,Santa Cruz,Santa Cruz de la Sierra,NACIONAL AYACUCHO,1,0,1,0,0,0,ing. en Informática y Sistemas Administrativos,15,Más de un año,2,Comunidad y Sociedad,1,Tic en Biogeografia-UNEFCO,1,Computadora portátil,4,1,1,Por cuenta propia,Sí,Sí,No,Sí
Sí,Femenino,35,La Paz,El Alto,6 DE JUNIO C,1,0,1,0,0,0,,10,Más de un año,3,Comunidad y Sociedad,0,,1,Computadora portátil,1,0,NA,Dotada por el ministerio,No,Sí,No,Sí
Sí,Masculino,32,La Paz,El Alto,BAUTISTA SAAVEDRA,0,0,1,0,0,0,,7,Más de un año,7,"Ciencia, Tecnología y Producción",0,,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,46,La Paz,La Paz,SAN SIMON DE AYACUCHO A,1,0,0,0,0,0,,22,Más de un año,10,Comunidad y Sociedad,1,Alfabetización en medios audiovisuales usando Power Director ,1,Computadora portátil,2,1,2,Por cuenta propia,Sí,Sí,Sí,Sí
Sí,Femenino,55,La Paz,La Paz,CRISTIANO VIDA NUEVA,1,0,1,0,0,0,,31,Más de un año,5,Comunidad y Sociedad,1,Tic's organizada por GAMLP,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,48,La Paz,La Paz,MARIEN GARTEN C,0,0,1,0,0,0,,20,Más de un año,2,Comunidad y Sociedad,1,,1,Computadora portátil,1,1,1,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,43,La Paz,El Alto,MARTIN CARDENAS HERMOSA B,0,0,1,0,0,0,,25,Más de un año,7,Cosmos y Pensamiento,1,"uso de las TICs, Fundación LA PAZ",1,Computadora portátil,2,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,37,La Paz,La Paz,MARIEN GARTEN C,1,0,1,0,0,0,,11,Más de un año,7,Comunidad y Sociedad,1,Audaciti,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,58,La Paz,La Paz,MARIEN GARTEN C,0,0,0,0,1,0,,30,Más de un año,2,Comunidad y Sociedad,1,,1,Computadora portátil,2,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,50,La Paz,La Paz,CRISTIANO VIDA NUEVA,1,0,0,0,0,0,,20,Más de un año,3,"Ciencia, Tecnología y Producción",1,,1,Computadora de escritorio,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,44,La Paz,El Alto,MARTIN CARDENAS HERMOSA B,0,0,1,0,0,0,,20,Más de un año,2,"Vida, Tierra y Territorio",1,Tics,1,Computadora portátil,2,1,1,Por cuenta propia,Sí,Sí,No,Sí
Sí,Masculino,50,La Paz,El Alto,VILLA ALEMANIA,1,0,1,1,0,0,,26,Más de un año,15,"Vida, Tierra y Territorio",0,,1,Computadora portátil,2,0,NA,Por cuenta propia,Sí,No,No,Sí
Sí,Masculino,59,La Paz,El Alto,DR. CARLOS MONTENEGRO,0,0,1,1,0,0,,33,Más de un año,14,"Ciencia, Tecnología y Producción",0,,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,36,La Paz,El Alto,DR. CARLOS MONTENEGRO,1,0,1,0,0,0,,9,Más de un año,1,Cosmos y Pensamiento,1,tic en cosmovisiones filosofía y sicológica,1,Computadora portátil,2,0,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Masculino,37,La Paz,El Alto,DR. CARLOS MONTENEGRO,1,0,1,0,0,0,,10,Más de un año,6,Comunidad y Sociedad,1,Unefco,1,Computadora de escritorio,2,0,NA,Por cuenta propia,Sí,Sí,Sí,Sí
Sí,Femenino,64,Santa Cruz,Santa Cruz de la Sierra,ARZOBISPO DANIEL RIVERO,0,0,1,0,0,0,,36,Más de un año,2,"Vida, Tierra y Territorio",1,sozi y inkscape,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,29,Santa Cruz,Santa Cruz de la Sierra,ARZOBISPO DANIEL RIVERO,1,0,1,0,0,0,,9,Más de un año,5,"Ciencia, Tecnología y Producción",1,1ro y 2do de secundaria,1,Computadora portátil,1,0,NA,Dotada por el ministerio,No,Sí,Sí,Sí
Sí,Masculino,54,La Paz,La Paz,SAN SIMON DE AYACUCHO A,1,0,1,0,0,0,Diplomado,26,Más de un año,19,"Ciencia, Tecnología y Producción",1,Robotica,1,Computadora portátil,1,0,NA,Dotada por el ministerio,No,Sí,Sí,Sí
No,Masculino,52,La Paz,La Paz,ELISA DE BALLIVIAN,1,0,1,0,0,0,,33,Más de un año,2,"Ciencia, Tecnología y Producción",0,,1,Computadora portátil,1,0,NA,Dotada por el ministerio,No,Sí,Sí,Sí
Sí,Femenino,59,La Paz,El Alto,DR. CARLOS MONTENEGRO,1,0,1,0,0,0,,18,Más de un año,2,"Ciencia, Tecnología y Producción",0,,1,Computadora de escritorio,1,0,NA,Por cuenta propia,Sí,No,No,Sí
Sí,Femenino,58,La Paz,El Alto,DR. CARLOS MONTENEGRO,0,0,1,0,0,0,,34,Más de un año,12,"Vida, Tierra y Territorio",1,Tic,1,Computadora portátil,2,1,1,Por cuenta propia,Sí,Sí,No,Sí
Sí,Femenino,35,La Paz,La Paz,MARIEN GARTEN C,1,0,1,0,0,0,,4,Menos de un año,NA,Comunidad y Sociedad,1,Herramientas de software libre,0,,NA,0,NA,Por algún familiar,No,Sí,No,Sí
Sí,Femenino,30,Santa Cruz,Santa Cruz de la Sierra,ARZOBISPO DANIEL RIVERO,1,0,1,1,0,0,,9,Más de un año,4,Cosmos y Pensamiento,1,Agetic,1,Computadora portátil,3,1,1,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Masculino,33,La Paz,El Alto,HUAYNA POTOSI MAÑANA,0,0,1,0,0,0,,6,Más de un año,3,Comunidad y Sociedad,1,Uso de las tics y manejo de quas,1,Computadora portátil,2,0,NA,Dotada por el ministerio,No,Sí,No,Sí
Sí,Masculino,57,La Paz,El Alto,BAUTISTA SAAVEDRA,1,0,1,0,0,0,,25,Más de un año,17,Comunidad y Sociedad,1,UNEFCO AULA VIRTUAL,1,Computadora de escritorio,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,54,La Paz,El Alto,DR. CARLOS MONTENEGRO,1,0,1,0,0,0,,17,Más de un año,10,Comunidad y Sociedad,1,Inclusion digital,1,Computadora portátil,1,1,1,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Femenino,54,La Paz,El Alto,DR. CARLOS MONTENEGRO,1,0,0,0,0,0,,30,Más de un año,5,Comunidad y Sociedad,0,,1,Computadora portátil,1,0,NA,Dotada por el ministerio,No,No,No,No
Sí,Femenino,35,La Paz,El Alto,DR. CARLOS MONTENEGRO,1,0,0,0,0,0,,10,Más de un año,6,"Ciencia, Tecnología y Producción",0,,1,Computadora portátil,1,0,NA,Por cuenta propia,No,Sí,Sí,Sí
Sí,Masculino,38,La Paz,El Alto,16 DE FEBRERO B,0,0,1,0,0,0,,16,Más de un año,8,Comunidad y Sociedad,0,,1,Computadora portátil,3,1,1,Por cuenta propia,Sí,Sí,No,Sí
Sí,Masculino,53,La Paz,El Alto,JOSE ANTONIO PAREDES CANDIA,0,0,1,0,0,0,,30,Más de un año,4,Comunidad y Sociedad,1,Replica de kuaas,1,Computadora portátil,2,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,44,La Paz,La Paz,SAN SIMON DE AYACUCHO A,0,0,1,0,0,0,,7,Más de un año,4,"Vida, Tierra y Territorio",1,Uso de las Tic en el aula,1,Computadora portátil,1,0,NA,Dotada por el ministerio,No,Sí,No,Sí
Sí,Femenino,37,La Paz,El Alto,ABEL ITURRALDE B,1,0,0,0,0,0,,13,Más de un año,11,Comunidad y Sociedad,1,Manejo de las Quas,1,Computadora portátil,1,1,1,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Masculino,52,La Paz,El Alto,ABEL ITURRALDE B,1,0,1,0,0,0,,24,Más de un año,19,Comunidad y Sociedad,1,Manejo de tecnologia por UNEFCO,1,Computadora portátil,2,0,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Femenino,46,La Paz,La Paz,ALFREDO VARGAS B,1,0,1,0,0,0,,21,Más de un año,17,"Ciencia, Tecnología y Producción",1,classroom,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,No,No,Sí
Sí,Masculino,54,La Paz,La Paz,ALFREDO VARGAS B,1,0,1,0,0,0,,22,Más de un año,19,Comunidad y Sociedad,0,,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,No,No,Sí
Sí,Femenino,27,Santa Cruz,Santa Cruz de la Sierra,MONSEÑOR SANTISTEVAN I,0,0,1,0,0,0,,3,Más de un año,3,"Ciencia, Tecnología y Producción",1,TICS EN EL AULA,1,Computadora de escritorio,1,0,NA,Por algún familiar,Sí,Sí,No,Sí
Sí,Femenino,44,Santa Cruz,Santa Cruz de la Sierra,MONSEÑOR SANTISTEVAN I,0,0,1,0,0,0,,13,Menos de un año,NA,Comunidad y Sociedad,1,operador de computadora,1,Computadora portátil,5,0,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Femenino,50,Santa Cruz,Santa Cruz de la Sierra,MONSEÑOR SANTISTEVAN I,0,0,1,0,0,0,,22,Más de un año,22,"Vida, Tierra y Territorio",0,,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Femenino,30,Santa Cruz,Santa Cruz de la Sierra,MONSEÑOR SANTISTEVAN I,1,0,1,1,0,0,,10,Más de un año,5,Comunidad y Sociedad,0,,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Femenino,27,La Paz,La Paz,ELISA DE BALLIVIAN,0,0,1,0,0,0,,1,Más de un año,1,Comunidad y Sociedad,1,Aula virtual UNEFCO,1,Computadora portátil,1,0,NA,Por cuenta propia,Sí,Sí,No,Sí
Sí,Masculino,51,La Paz,La Paz,ELISA DE BALLIVIAN,1,0,1,0,0,0,,24,Más de un año,2,"Ciencia, Tecnología y Producción",1,Manejo de las tics en el aula ,1,Computadora portátil,1,1,1,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,34,La Paz,La Paz,ELISA DE BALLIVIAN,0,0,1,0,0,0,,7,Menos de un año,NA,Comunidad y Sociedad,0,,1,Computadora portátil,1,0,NA,Dotada por el ministerio,No,Sí,No,Sí
Sí,Femenino,37,La Paz,La Paz,ELISA DE BALLIVIAN,1,0,1,0,0,0,,14,Más de un año,9,"Ciencia, Tecnología y Producción",1,Uso de herramientas tecnológicas ,1,Computadora portátil,2,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,33,La Paz,La Paz,PEDRO POVEDA A,0,0,1,0,0,0,,5,Menos de un año,NA,Comunidad y Sociedad,0,,1,Computadora portátil,1,0,NA,Por cuenta propia,Sí,Sí,No,Sí
Sí,Femenino,31,Chuquisaca,Yotala,DOROTEO HERNANDEZ,0,0,1,0,0,0,,7,Más de un año,4,"Ciencia, Tecnología y Producción",1,Manejo de kuuas,1,Computadora de escritorio,2,0,NA,Por cuenta propia,Sí,Sí,Sí,Sí
Sí,Masculino,63,La Paz,La Paz,MARIA INMACULADA A,1,0,1,1,0,0,,38,Más de un año,9,Comunidad y Sociedad,1,El uso de aplicaciones para utilizar el aula TICs.,0,,NA,0,NA,Dotada por el ministerio,No,No,No,No
Sí,Masculino,45,La Paz,El Alto,ALTO DE LA ALIANZA MAÑANA,1,1,1,0,0,0,,18,Más de un año,12,"Vida, Tierra y Territorio",1,Unefco,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Femenino,57,La Paz,La Paz,PEDRO POVEDA A,1,0,0,0,0,0,,30,Más de un año,26,Comunidad y Sociedad,1,,1,Computadora portátil,2,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,38,La Paz,La Paz,PEDRO POVEDA A,1,0,1,1,0,0,,8,Más de un año,3,"Vida, Tierra y Territorio",1,El uso de videos ,1,Computadora de escritorio,2,1,1,Por cuenta propia,Sí,Sí,No,Sí
Sí,Masculino,28,La Paz,La Paz,PEDRO POVEDA A,0,1,1,0,0,0,,7,Más de un año,2,"Ciencia, Tecnología y Producción",0,,1,Computadora portátil,2,0,NA,Por cuenta propia,Sí,Sí,No,Sí
Sí,Masculino,44,La Paz,El Alto,BAUTISTA SAAVEDRA,1,0,1,1,0,0,,6,Más de un año,6,Comunidad y Sociedad,1,Segundo,1,Computadora portátil,1,0,NA,Por cuenta propia,No,Sí,No,Sí
Sí,Femenino,45,La Paz,La Paz,PEDRO POVEDA A,0,0,1,0,0,0,,21,Más de un año,19,Comunidad y Sociedad,1,Uso de la tics ,1,Computadora portátil,1,1,1,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,50,La Paz,La Paz,PEDRO POVEDA A,0,0,1,0,0,0,,23,Más de un año,1,"Ciencia, Tecnología y Producción",1,Robotica,1,Computadora portátil,3,1,4,Otro,Sí,Sí,Sí,Sí
Sí,Masculino,33,La Paz,La Paz,PEDRO POVEDA A,1,0,0,0,0,0,,8,Más de un año,3,Cosmos y Pensamiento,1,El   que  dió  el  gobierno,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Masculino,43,La Paz,La Paz,MAX VALDIVIA,1,0,1,1,0,0,,18,Más de un año,6,"Vida, Tierra y Territorio",1,TIC*S,1,Computadora portátil,1,1,1,Dotada por el ministerio,No,Sí,No,Sí
Sí,Femenino,46,La Paz,La Paz,PEDRO POVEDA A,1,0,1,0,0,0,,20,Más de un año,2,Comunidad y Sociedad,1,Manejo de las kuas con los estudiantes,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,36,La Paz,La Paz,MAX VALDIVIA,0,0,1,0,0,0,,9,Menos de un año,NA,Comunidad y Sociedad,1,Ntics del profocom,1,Computadora portátil,1,0,NA,Dotada por el ministerio,No,Sí,No,Sí
Sí,Masculino,28,La Paz,La Paz,PEDRO POVEDA A,0,0,1,0,0,0,,6,Menos de un año,NA,Comunidad y Sociedad,1,Estrategias metodológicas en Ciencias Sociales,1,Computadora de escritorio,1,0,NA,Por cuenta propia,No,Sí,No,No
Sí,Femenino,47,La Paz,La Paz,PEDRO POVEDA A,0,0,1,0,0,0,,20,Más de un año,2,Cosmos y Pensamiento,1,worf y excel lo basico,1,Computadora de escritorio,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,28,La Paz,La Paz,MAX VALDIVIA,1,0,1,0,0,0,,4,Menos de un año,NA,Comunidad y Sociedad,1,NTics profocom ,1,Computadora portátil,1,1,1,Por cuenta propia,Sí,No,No,Sí
Sí,Masculino,31,La Paz,La Paz,PEDRO POVEDA A,1,1,1,0,0,0,,7,Más de un año,4,"Vida, Tierra y Territorio",1,Aplicaciones interactivas con JClic ,1,Computadora portátil,2,0,NA,Por cuenta propia,Sí,Sí,No,Sí
Sí,Femenino,42,Cochabamba,Quillacollo,EL PASO A,1,0,1,1,0,0,,19,Más de un año,19,Comunidad y Sociedad,1,Herramientas Tic para el  área  de ciencias  sociales ,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Femenino,58,La Paz,La Paz,PEDRO POVEDA A,1,0,1,1,0,0,,35,Más de un año,25,Comunidad y Sociedad,1,,1,Computadora portátil,2,1,2,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,33,La Paz,La Paz,MAX VALDIVIA,1,0,1,0,0,0,,6,Más de un año,6,Cosmos y Pensamiento,0,,1,Computadora portátil,2,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,37,La Paz,La Paz,PEDRO POVEDA A,1,0,1,0,0,0,,16,Más de un año,13,"Ciencia, Tecnología y Producción",1,Pisos tecnológicos e inclusión digital,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
No,Masculino,43,La Paz,La Paz,PEDRO POVEDA A,0,0,1,0,0,0,,11,Más de un año,2,"Ciencia, Tecnología y Producción",1,Virtual fusión ,1,Computadora portátil,1,0,NA,Por cuenta propia,Sí,Sí,No,Sí
Sí,Masculino,28,La Paz,El Alto,U.E. ARMADA BOLIVIANA,1,0,0,0,0,0,,5,Menos de un año,NA,Comunidad y Sociedad,0,,1,Computadora de escritorio,1,1,1,Por cuenta propia,Sí,Sí,Sí,Sí
